# 2: kind of model (K=King, W=Wilson)
# 3: dimensionless central potential
# 6: core radius
# 9: scale radius
# 12: concentration (=log(rl/r0) )
# 15: limiting radius
# 18: 3d half-mass radius
# 21: effective radius
# 24: number of outermost points for the background determination
# 25: reduced chi^2
# all radii are in arcsec.
# <+|->d<name>: (plus|minus)uncertainties on the parameter <name>
#
# 1     2   3     4     5     6      7     8     9     10    11    12      13      14     15     16    17    18      19    20     21      22    23     24   25      
#NGCno. mod W0    +dW0  -dW0  rc     +drc  -drc  r0     +dr0  -dr0  c0      +dc0    -dc0   rl     +drl  -drl  rhm     +drhm -drhm  re      +dre  -dre   N_BG chi2_nu
5824    K   8.950 0.050 0.0   4.04   0.0   0.12  4.14   0.0   0.12  2.106   0.013   0.0  527.58   0.0   0.20  58.62   0.83  0.0    42.67   0.32  0.0    3    6.2     
5824    W   7.40  0.10  0.10  4.44   0.21  0.13  4.76   0.24  0.15  2.705   0.085   0.083  2410   430   320   29.2    2.2   1.5    21.73   1.6   0.99   3    0.21    
##
5904    K   7.450 0.050 0.10  28.1   0.0   7.3   29.4   0.0   7.7   1.664   0.015   0.031  1350   0.0   410   141     0.0   42     104     0.0   30     2    1.5    
5904    W   6.550 0.050 0.050 29.13  0.39  0.39  32.15  0.49  0.50  2.082   0.030   0.030  3880   210   200   107.10  0.97  2.0    80.45   0.79  0.76   2    1.3    
##                                                                                                                                                                  
6121    K   7.50  0.20  0.20  64.1   2.5   2.2   66.8   2.9   2.5   1.679   0.062   0.061  3190   350   300   331     30    23     244     21    16     2    0.41   
6121    W   7.80  0.25  0.25  64.5   2.2   2.0   68.5   2.7   2.5   3.03    0.15    0.20   73000  27000 25000 670     220   160    490     170   110    2    0.68   
##                                                                                                                                                                  
6205    K   6.25  0.15  0.10  49.52  0.74  1.0   53.29  0.98  1.3   1.319   0.040   0.026  1111   76    45    148.7   4.2   2.3    111.3   3.1   1.7    2    0.49   
6205    W   5.95  0.15  0.20  50.55  0.92  0.60  57.2   1.6   1.1   1.774   0.069   0.084  3400   510   520   148.3   5.1   5.5    111.9   4.0   4.3    2    0.69   
##                                                                                                                                                                  
6229    K   7.400 0.050 0.050 7.89   0.21  0.21  8.25   0.23  0.23  1.649   0.015   0.015  367.4  2.6   2.9   38.62   0.0   0.23   28.4946 0.0   0.0079 3    8.1    
6229    W   6.050 0.050 0.050 9.68   0.13  0.12  10.91  0.18  0.17  1.819   0.023   0.023  720    28    26    29.269  0.077 0.042  22.120  0.072 0.044  3    0.72   
##                                                                                                                                                                  
6254    K   6.60  0.10  0.10  41.4   1.4   1.4   44.1   1.7   1.6   1.413   0.028   0.028  1142   33    30    139.93  1.3   0.13   104.70  0.39  0.11   4    0.091  
6254    W   6.00  0.15  0.15  44.4   1.5   1.4   50.2   2.1   2.0   1.796   0.070   0.065  3140   410   330   132.2   1.8   1.3    99.8    1.6   1.1    4    0.48   
##                                                                                                                                                                  
6266    K   7.85  0.15  0.15  15.37  0.60  0.55  15.94  0.66  0.61  1.788   0.046   0.046  978    67    63    98.5    6.8   5.4    72.3    4.7   3.8    4   0.27    
6266    W   7.95  0.25  0.15  15.84  0.30  0.56  16.78  0.37  0.68  3.127   0.12    0.098  22500  5800  4100  198     68    30     147     48    23     4   0.48    
##                                                                                                                                                                  
6341    K   7.700 0.10  0.050 14.60  0.24  0.45  15.17  0.26  0.49  1.741   0.031   0.015  836    32    15    85.1    2.5   1.2    62.60   2.0   0.88   3    0.41   
6341    W   6.700 0.050 0.050 17     15    0.0   19     16    0.0   2.175   0.033   0.031  2780   2800  170   66.65   60    0.97   50.24   46    0.81   3    0.54   
##
6626    K   8.60  0.25  0.20  10.54  0.22  0.26  10.82  0.26  0.30  2.011   0.068   0.058  1110   150   120   117     22    14     85      15    10     4    0.59   
6626    W   9.05  0.20  0.25  10.63  0.18  0.18  11.03  0.23  0.22  3.3288  0.0013  0.0037 23520  540   660   410     49    63     302     35    47     4    0.94   
##
6809    K   4.95  0.20  0.25  98.8   4.4   3.3   112.5  6.8   5.0   1.019   0.041   0.050  1176   61    64    215.56  1.2   0.66   162.82  0.61  0.12   3    0.68   
6809    W   4.30  0.35  0.40  101.2  4.2   3.5   127.8  10    7.9   1.244   0.088   0.092  2240   330   280   213.0   3.5   2.4    161.5   2.5   1.5    3    1.1    
##                                                                                                                                                                  
6864    K   7.850 0.050 0.050 4.92   0.13  1.7   5.10   0.13  1.8   1.788   0.015   0.016  310    0.0   100   32      0.0   10     23.1    0.0   7.6    4    0.49   
6864    W   7.00  0.15  0.10  5.74   0.17  0.28  6.24   0.20  0.33  2.384   0.12    0.074  1510   360   190   27.01   1.7   0.80   20.35   1.2   0.72   4    0.80   
##                                                                                                                                                                  
7089    K   7.150 0.15  0.050 15.44  0.38  5.4   16.22  0.41  5.7   1.573   0.045   0.015  606    13    170   66.34   0.20  20     49.13   0.15  15     4    0.35   
7089    W   6.45  0.10  0.20  15.82  0.81  0.39  17.53  1.0   0.50  2.024   0.058   0.11   1850   210   320   55.2    1.5   1.6    41.77   0.84  1.1    4    0.99   
##                                                                                                                                                                  
AM1     K   7.10  0.55  0.45  9.2    1.7   1.4   9.7    1.9   1.6   1.56    0.17    0.13   349    79    39    38.5    5.3   1.1    28.54   3.7   0.54   3    0.53   
AM1     W   6.45  0.70  0.75  9.7    1.7   1.1   10.7   2.4   1.5   2.02    0.48    0.35   1130   1800  520   33.7    11    2.5    25.5    8.2   2.0    3    0.24   
##                                                                                                                                                                  
ERIDANU K   6.40  1.0   0.80  14.83  0.94  0.85  15.9   1.5   1.3   1.36    0.29    0.20   360    290   110   46.8    22    7.2    35.0    15    5.2    0    0.18   
ERIDANU W   6.7   1.2   1.1   14.94  0.98  0.85  16.4   2.0   1.5   2.17    0.92    0.54   2500   16000 1700  59      110   16     44      78    12     0    0.14   
## 
PAL3    K   3.70  1.3   0.85  28.3   3.4   4.6   35.4   8.5   8.4   0.79    0.23    0.14   218    65    23    51.05   1.1   0.22   38.71   0.91  0.20   4    0.10   
PAL3    W   2.15  2.2   0.10  29.31  0.20  4.6   49.6   1.4   19    0.809   0.45    0.019  319.9  240   4.9   50.291  2.1   0.023  38.343  1.4   0.047  4    0.061  
## 
PAL4    K   5.20  0.65  0.70  22.0   3.7   3.0   24.7   5.4   4.0   1.07    0.15    0.14   292    52    34    50.55   1.5   0.13   38.09   1.2   0.19   3    0.29   
PAL4    W   4.4   1.0   1.2   22.8   3.7   3.0   28.5   8.9   5.4   1.27    0.29    0.25   530    310   140   48.6473 1.6   0.0099 36.9    1.3   0.0    3    0.15   
## 
PAL14   K   4.35  0.70  0.70  40.5   5.3   4.8   48.0   9.6   7.5   0.90    0.14    0.12   384    59    37    79.95   2.0   0.71   60.46   1.8   0.52   4    0.145  
PAL14   W   3.2   1.3   1.2   42.0   4.6   5.1   60     21    14    1.01    0.27    0.22   610    270   110   78.21   1.2   0.38   59.41   1.1   0.10   4    0.15   
## 
TER5    K   7.20  0.20  0.15  7.73   0.33  0.41  8.11   0.37  0.46  1.588   0.061   0.045  314    27    18    34.0    1.8   1.2    25.20   1.2   0.74   10   0.28   
TER5    W   7.05  0.25  0.15  8.08   0.17  0.26  8.76   0.23  0.35  2.42    0.20    0.11   2310   1200  470   39.7    7.0   3.1    29.6    5.3   2.2    10   0.19   

